Prepostion	Hindi	Punjabi	Telugu	Kannada	Tamil	Assamese	Gujarati	Odia	Marathi	Bengali	Malayalam	Examples
after	के बाद	ਤੋਂ ਬਾਦ 	తరువాత 	ನಂತರ 	பிறகு	ৰ পাছত	ના પછી	ର ପରେ	च्या नंतर 	এর পরে 	ശേഷം	He will come after 10.
upon	पर	 'ਤੇ	మీద 	ಮೇಲೆ 	மீது	ৰ ওপৰত	ઉપર	ଉପରେ	वर 	উপর 	മേൽ	He carefully placed the vase upon the table.
in order to	के लिए	ਦੇ ਲਈ	ఆ క్రమంలో	ಸಲುವಾಗಿ 	என்பதற்காக 	ৰ কাৰণে	ના અનુસાર	ର ଲାଗି	च्या साठी 	এর জন্য 	ഇതിനായി	In order to make thing work , he is strict.
in case of	के मामले में	ਦੇ ਮਾਮਲੇ 'ਚ	ఆ విషయంలో 	ಸಂದರ್ಭದಲ್ಲಿ 	வேளை	ৰ বিষয়ত	એ પરિસ્થિતિ માં	ର ବେଳେ	या विषयात 	ক্ষেত্রে 	അത്തരം സാഹചര്യത്തിൽ	In case of accident , you should appraoch police.
if	अगर	ਜੇ	అయితే 	ಪಕ್ಷದಲ್ಲಿ 	எனினும்	যদি	જો	ଯଦି	जर 	যদি 	എങ്കിൽ	If he is here , it will be good.
but	लेकिन	ਪਰ	కానీ 	ಆದರೆ 	ஆனால்	কিন্তু	પરંતુ	କିନ୍ତୁ	परंतु 	কিন্তু 	പക്ഷേ	There was no one there but him.
besides	के अलावा	ਦੇ ਇਲਾਵਾ	పక్కన 	ಅಲ್ಲದೆ 	தவிர 	ৰ বাহিৰে	ઉપરાંત	କୁ ଛାଡି	च्या शिवाय 	এ ছাড়া 	കൂടാതെ	There's no one here besides [=except] me.
throughout	के दौरान	ਦੇ ਦੌਰਾਨ	అంతట 	ಉದ್ದಕ್ಕೂ	முழுவதும் 	ৰ সময়ত	સમગ્ર	କୁ ବେଳେ	च्या दरम्यान 	তবুও 	മുഴുവൻ	His supporters remained loyal throughout his difficulties.
astern of	के पीछे	ਦੇ ਪਿੱਛੇ	వెనకతట్టున	ಹಿಂದೆ 	பின்னால்	ৰ পিচত	ની અસ્થિ	ର ପଛ ରେ	च्या मागे 	এর পিছনে 	ന്‍റെ പുറകില്‍ 	This is astern of ship.
along	के साथ	ਦੇ ਨਾਲ	వెంట 	ಜೊತೆಗೆ	அருகில்	ৰ সৈতে	ની સાથે	ର ସାଙ୍ଗରେ	च्या सोबत 	এর সাথে 	ന്‍റെ കൂടെ 	He has gone out along Anup.
as per	के अनुसार	ਦੇ ਅਨੁਸਾਰ	దాన్నిప్రకారం 	ಅನುಸಾರವಾಗಿ 	படி 	ৰ অনুসাৰে	આ પ્રમાણે	ର ଅନୁଯାଇ	च्या अनुसार 	এই অনুসারে 	പ്രകാരം	As per the directions, we should go right.
abroad	विदेश	ਵਿਦੇਸ਼	విదేశాల్లో	ವಿದೇಶ 	வெளிநாட்டில்	বিদেশ	વિદેશમાં	ବିଦେଶ	विदेश 	বিদেশ 	വിദേശത്ത്	
in place of	के बदले	ਦੇ ਬਦਲੇ	బదులుగా 	ಬದಲಾಗಿ 	பதிலாக	ৰ ঠাইত	તેની જગ્યાએ	ର ବଦଳ ରେ	च्या बदल्यात 	এর বদলে 	അതിനു പകരമായി	He is here in place of (instead of) Anup
a	एक	ਇੱਕ	ఒక 	ಒಂದು 	ஒரு 	এক	એક 	ଗୋଟେ	एक 	এক 	ഒരു	
on	पर	 'ਤੇ	మీద 	ಮೇಲೆ 	மீது	ওপৰত	પર 	ଉପରେ	वर 	উপর 	മുകളില്‍	The book is on the table.
about	के बारे में	ਦੇ ਬਾਰੇ 'ਚ	చుట్టూ 	ಬಗ್ಗೆ 	பற்றி 	ৰ বিষয়ে	વિષયમાં 	ର ବିଷୟ ରେ	च्या विषयी 	এর সম্বন্ধে 	കുറിച്ച്	Tell me something about Bangalore.
off	से दूर	ਤੋਂ ਦੂਰ	లేకుండా 	ದೂರ 	விலகி 	ৰ পৰা আতৰত	દૂર 	ରୁ ଦୂର	पासून दूर 	এর থেকে দূরে 	അകലെ നിന്ന് 	The ball bounced off the wall.
unlike	से भिन्न	ਤੋਂ ਅੱਡ	పోలికలేని 	ಭಿನ್ನ	வேறு மாதிரியான	ৰ বিপৰিতে	થી ભિન્ન 	ଠାରୁ ଭିନ୍ନ	च्या पेक्षा वेगळे 	এর ভিন্ন 	നിന്ന് വ്യത്യസ്തമാണ് 	He is unlike others
inside of	के अंदर	ਦੇ ਅੰਦਰ	లోపలి 	ಒಳಗೆ 	உள்ளே	ৰ ভিতৰত	ની અંદર	ର ଭିତରେ	च्या आत 	এর ভিতর 	ന്‍റെ അകത്ത് 	He is inside of the tunnel.
back to	वापस	ਵਾਪਸ	తిరిగి 	ಹಿಂದೆ 	திரும்ப	উভতি	પાછળ	ପୁଣି ଥରେ	परत 	ফেরা 	തിരിച്ച്	He is back to home
via	के द्वारा	ਦੇ ਦੁਆਰਾ	ద్వారా 	ಮೂಲಕ 	வழியாக	ৰ দ্ৱাৰা	દ્વારા	ର ଦ୍ୱାରା	च्या द्वारे 	এর দ্বারা  	വഴി	He went ranchi via delhi.
amid	के बीच	ਦੇ ਵਿੱਚ	మధ్య 	ಮಧ್ಯೆ 	மத்தியில்	ৰ মাজত	વચ્ચે	ର ମଝିରେ	च्या मध्ये 	এর মধ্যে 	ന്‍റെ ഇടയില്‍	He is amid the trees
worth	के लायक	ਦੇ ਜੋਗ	అర్హత	ಅರ್ಹ 	தகுதி	ৰ যোগ্য	ને યોગ્ય 	ର ଯୋଗ୍ୟ	च्या लायक 	এর যোগ্য 	വിലമതിക്കുന്നു 	He is worth the price
against	के खिलाफ	ਦੇ ਖਿਲਾਫ਼	విరుద్ధముగా 	ವಿರುದ್ಧ 	எதிராக	ৰ বিৰুদ্ধে	ની સામે	ର ବିରୁଦ୍ଧ ରେ	च्या विरुद्ध 	এর বিরুদ্ধে 	ന് എതിരാണ്  	He is against the policies
round	के चारों ओर	ਦੇ ਚਾਰੋਂ ਪਾਸੇ	చుట్టు 	ಸುತ್ತ 	வட்டமான	ৰ চাৰিও ফালে	ની ચારે બાજુ 	ର ସବୁ ପଟେ	च्या चारी बाजूला 	এর চারপাশে 	ചുറ്റും	There is fence round the wall.
without	के बिना	ਦੇ ਬਿਨਾ	లేకుండా 	ಇಲ್ಲದೆ 	இல்லாமல்	ৰ অবিহনে	ના વગર	ର ଛଡା	च्या शिवाय 	এ ছাড়া, বিনা  	കൂടാതെ 	We are sad without Anup
plus	और	 'ਤੇ	మరియు 	ಮತ್ತು 	கூட	আৰু	અને 	ଆଉ	आणि 	যোগ 	അധികം 	4 plus 5 equals 9
aboard	पर	 'ਤੇ	పైకి 	ಮೇಲೆ 	மீது	ত উঠি	પર 	ଉପରେ	वर 	এ 	ല്‍ 	She got aboard [=on board] the train.
prior to	से पहले	ਤੋਂ ਪਹਿਲਾਂ	దీని ముందు	ಮೊದಲು 	முன்பாக	ৰ আগত	પહેલાં	ର ପୂର୍ବ ରୁ	च्या आधी 	এর আগে 	അതിനു മുന്‍പ്	It should be done prior to that.
regardless of	के बावजूद	ਦੇ ਬਾਵਜੂਦ	సంబంధం లేకుండా	ಏನೇ ಆದರೂ 	பொருட்படுத்தாமல்	নিৰ্বিশেষে	તે છતાં 	ର ସତ୍ତ୍ୱେ	तरी सुद्धा 	নিৰ্বিশেষে	പരിഗണിക്കാതെ	Regardless of warning, he commited the same mistake
onto	पर	ਉੱਤੇ	మీద 	ಮೇಲೆ 	மீது	ওপৰলৈ	પર	ଉପରେ	वर 	উপর 	മുകളിലേക്ക്	The book fell onto the floor.
that	कि	ਕਿ	అని 	ಏನೆಂದರೆ 	அது	যে	કે	ଯେ	की 	যে 	അത്	I never said that I was afraid.
instead of	के बजाय	ਦੇ ਬਜਾਏ	బదులుగా 	ಬದಲಾಗಿ 	பதிலாக	পৰিবৰ্ত্তে	ની બદલે	ର ବଦଳ ରେ	त्याऐवजी	পরিবর্তে 	അതിനു പകരം	He gave me 3 instead of 2.
once	एक बार	ਇੱਕ ਵਾਰ	ఒకసారి 	ಒಮ್ಮೆ 	ஒருமுறை 	এবাৰ	એકવાર	ଗୋଟେ ଥର	एकदा	একবার 	ഒരിക്കല്‍ 	Do it once
preposition as Dative - with noun	He gave the letter to sidharth											
												
to	को	ਨੂੰ	మీకు 	ಗೆ 	க்கு 	ক	ને	କୁ	ला 	কে	ന്	He gave the letter to Anup
for	के लिए	ਦੇ ਲਈ	కోసం 	ಗಾಗಿ 	ஆக	ৰ কাৰণে	માટે	ର ପାଇଁ	च्या साठी 	র জন্ন	വേണ്ടി	This is for Anup
preposition as Dative - with pronoun	He gave the letter to him											
- removal of post position from above												
to		ਨੂੰ	మీకు 	ಗೆ 	க்கு 				ला 		ന്	He gave the letter to him.
for	लिए	ਦੇ ਲਈ	కోసం 	ಗಾಗಿ 	ஆக	কাৰণে	માટે	ପାଇଁ	च्या साठी 	জন্ন	വേണ്ടി	This is for him
preposition as mark (conjunction)	You can double your fashion flair as you wear this Beautiful Kurti.											
												
lest	ताकि	ਕਿਤੇ	కాకుండా 	ಏಕೆಂದರೆ 	இல்லையென்றால் 	যাতে	જેથી 	ଯେମିତି କି	ज्यामुळे 	তাকি	അതുപോലെ	
once	एक बार	ਇੱਕ ਵਾਰ	ఒకసారి 	ಒಮ್ಮೆ 	ஒருமுறை 	এবাৰ	એકવાર	ଗୋଟେ ଥର	एकदा 	একবার 	ഒരു തവണ	Do it once
because	क्योंकि	ਕਿਉਂਕਿ 	కాబట్టి 	ಏಕೆಂದರೆ 	ஏனெனில்	কাৰণ	કારણ કે	କାରଣ	कारण 	কারণ 	കാരണം	Because you were absent
unless	जब तक	ਜਦੋਂ ਤਕ 	తప్ప 	ಹೊರತು 	வரை 	যদিহে	સિવાય	ଯେବେ ଯାଏଁ	जेव्हा पर्यंत 	যতক্ষন না 	വരെ	Unless you are here .
like	जैसे	ਜਿਵੇਂ	పోలిన 	ಹಾಗೆ 	மாதிரி 	যেনে	જેમ	ଯେମିତି କି	जसे 	যেন 	പോലെ	He is like you.
for	के लिये	ਦੇ ਲਈ	కోసం 	ಗಾಗಿ 	ஏனெனில்	ৰ কাৰণে	માટે	ର ପାଇଁ	च्या साठी 	এর জন্য 	വേണ്ടി 	This is for Arun
that	कि	ਕਿ	అని 	ಏನೆಂದರೆ 	அது 	যে	કે	ଯେ	की 	যে 	അത് 	I never said that I was afraid.
whether	कि	ਕਿ	ఏమో 	ಎಂಬ 	என்பதை	যে	કે	ଯେ	की 	যে 	എന്ന്	I never said whether I was afraid.
since	जब से	ਜਦ ਤੋਂ	నుండి 	ಇಂದ 	இருந்து இதுவரை	ৰ পৰা	ત્યારથી	ଯେବେ ଠାରୁ	जेव्हा पासून 	যখন থেকে 	മുതല്‍	He has had two jobs since he graduated.
while	जब	ਜਦ	అయితే	ಇರುವಾಗ 	போது	যেতিয়া	જ્યારે	ଯେବେ	जेव्हा 	যখন 	എപ്പോൾ	Someone called while you were out.
until	जब तक	ਜਦੋਂ ਤਕ	వరకు 	ಇರುವವರೆಗೂ 	வரை 	যেতিয়ালৈ	જ્યાં સુધી	ଯେବେ ପର୍ଯ୍ୟନ୍ତ	जो पर्यंत 	যতক্ষন না 	വരെ 	We played until it got dark.
till	जब तक	ਜਦੋਂ ਤਕ	వరకు 	ಇರುವವರೆಗೂ 	வரை 	যেতিয়ালৈ	જ્યાં સુધી	ଯେବେ ପର୍ଯ୍ୟନ୍ତ	तो पर्यंत 	এই পর্য্যন্ত 	വരെ 	We played tili it got dark.
as	जैसे	ਜਿਵੇਂ	రీతి 	ರೀತಿ 	மாதிரி 	যেনে	તરીકે	ଯେମିତି କି	जसे 	এর মতো 	പോലെ	The fabric was soft as silk.
so	तो	ਤਾਂ	అలా 	ಆದ್ದರಿಂದ	அதனால்	সেয়ে	તેથી	ତେଣୁ	तर 	তাহলে 	അപ്പോൾ	Please be quiet so I can study.
although	हालांकि	ਹਾਲਾਂਕਿ	అయితే	ಆದರೂ	என்றாலும்	যদিওবা	જોકે	ଯଦିଓ	जरी 	যদিওবা 	എന്നിരുന്നാലും	Although [=while, even though] he was hungry, he could not eat.
though	हालांकि	ਹਾਲਾਂਕਿ	అయితే	ಆದರೂ	என்றாலும்	যদিওবা	જોકે	ଯଦିଓ	जरी 	যদিও	എന്നിരുന്നാലും	though [=while, even though] he was hungry, he could not eat.
before	के पेहले	ਤੋਂ ਪਹਿਲਾਂ	ముందు 	ಮುನ್ನ 	முன்பு 	ৰ আগত	પહેલાં	ର ପୂର୍ବ ରୁ	च्या आधी 	এর আগে 	മുന്‍പ്	Come home before sunset.
than	जितना कि	ਜਿੰਨਾ ਕੇ	కన్న	ಇಂತ 	விட	তকৈ	કરતાં	ଠାରୁ	जेवढे की 	এর থেকে 	അധികം	He can run more quickly than his father
after	के बाद	ਤੋਂ ਬਾਦ	తరువతా 	ನಂತರ 	பிறகு	ৰ পাচত	પછી	ର ପରେ	च्या नंतर 	এর পর 	ശേഷം	Come home after 10
if	अगर	ਜੇ	అయితే	ಪಕ್ಷದಲ್ಲಿ 	எனினும்	যদি	જો	ଯଦି	जर 	যদি 	എങ്കില്‍ 	If he is good, he will play.
preposition with object cardinal(numbers)		He will deliver at 10.										
												
to	तक	ਤਕ	వరకు 	ವರೆಗೂ 	வரை	লৈ	સુધી	ପର୍ଯ୍ୟନ୍ତ	पर्यंत 	পর্য্যন্ত 	വരെ 	The temperature outside rose to 100 degrees.
at	पर	 'ਤੇ	వద్ద 	ಕ್ಕೆ 	மீது 	তাত	પર 	ଠାରେ	वर 	তে 	ക്ക് 	He comes office at 10.
by	तक	ਤਕ	ద్వారా 	ಇಂದ 	வரை	ৰে	સુધી	ପର୍ଯ୍ୟନ୍ତ	पर्यंत 	পর্য্যন্ত 	യോടെ 	By 10 , I will come.
prepositon with object as location(city/place)		I will across the river										
												
to	तक	ਤਕ	వరకు 	ಗೆ 	வரை	লৈ	તરફ	ପର୍ଯ୍ୟନ୍ତ	पर्यंत 	পর্য্যন্ত 	ലേക്ക് 	He travelled to delhi
at	पर	 'ਤੇ	వద్ద 	ಅಲ್ಲಿ 	மீது 	ত	પર 	ଠାରେ	वर 	তে 	ല്‍ 	He is at the 7th cross.
across	के पार	ਦੇ ਪਾਰ	అడ్డంగా 	ದಾಟಿ 	கடந்து	ৰ সিপাৰে	આરપાર	ଆର ପଟେ	च्या जवळ 	ওই পাড়ে 	കുറുകെ	He swam across the river.
by	के पास से	ਦੇ ਨੇੜੇ	దగ్గెర 	ಹತ್ತಿರದಿಂದ 	அருகில் 	ৰ কাষেৰে	આગળ	ପାଖ ରୁ	 जवळ पासून 	এর পাশে 	അടുത്ത്	My home is by the main road
TO disambiguation (Verb + to : suffix)	He is going to him											
												
PLANTS	के पास	ਦੇ ਕੋਲ	దగ్గరకి 	ಹತ್ತಿರ 	அருகில் 	ৰ ওচৰলৈ	ની નજીક	ପାଖକୁ 	च्या जवळ 	এর কাছে 	ടെ  അടുത്തേക്ക്	He is going to plants
CONCEPT	पर	 'ਤੇ	మీద 	ಗೆ 	இல்	ত	પર 	ଉପରେ	वर 	অনুযায়ী 	അനുസരിച്ച് 	He is going according to theorm.
ANIMALS	के पास	ਦੇ ਕੋਲ	దగ్గరకి 	ಹತ್ತಿರ 	அருகில் 	ৰ ওচৰলৈ	ની નજીક	ପାଖକୁ 	च्या जवळ 	এর কাছে 	ടെ  അടുത്തേക്ക്	He is going to the dog.
NON_MOVING_OBJECTS	के पास	ਦੇ ਕੋਲ	దగ్గరకి 	ಹತ್ತಿರ 	அருகில் 	ৰ ওচৰলৈ	ની નજીક	ପାଖକୁ 	च्या जवळ 	এর কাছে 	ടെ  അടുത്തേക്ക്	He is going to the table.
FOOD	को	ਨੂੰ	కి 	ಗೆ 	க்கு 	লৈ	ને	କୁ	ला 	তে 	ന്‍റെ അടുത്തേക്ക്	
TIME	में	 'ਚ	లోకి 	ಕ್ಕೆ 	இல்	ত	માં	କୁ	मध्ये 	তে 	ലേക്ക്	He is going to past(acient times).
HUMANS	के पास	ਦੇ ਕੋਲ	దగ్గరకి 	ಹತ್ತಿರ 	அருகில் 	ৰ ওচৰলৈ	ની નજીક	ପାଖକୁ 	च्या जवळ 	এর কাছে 	ടെ  അടുത്തേക്ക്	He is going to his grandmom.
PHYSICAL_STATE	को	ਨੂੰ	లోకి 	ಕ್ಕಾಗಿ 	க்கு 	ত	ને	କୁ	ला 	তে 	ലേക്ക്	
EVENT	में	 'ਚ	లో 	ಗೆ 	க்கு 	ত	માં	କୁ	मध्ये 	এ 	ന്	He is going to the cultural event.
ANATOMY	को	ਨੂੰ	లో 	ಗೆ 	க்கு 	লৈ	ને	କୁ	ला 	কে	ന്‍റെ അടുത്തേക്ക്	
MENTAL_STATE	में	 'ਚ	లో 	ಗೆ 	இல்	ত	માં	କୁ	मध्ये 	ে	ലേക്ക്	
PLACE	तक/को		కి 	ಗೆ 	க்கு 		ને	କୁ	पर्यंत/ ला 	পর্য্যন্ত 	ലേക്ക് 	He is travelling to delhi
MEASUREMENT	तक	ਤਕ	వరకు 	ವರೆಗೂ 	வரை	লৈ	ત્યાં સુધી	ପର୍ଯ୍ୟନ୍ତ 	पर्यंत 	কে		
ACTION	में	 'ਚ	లో 	ಗೆ 	க்கு 	ত	માં	କୁ	मध्ये 	ে	ലേക്ക്	
GROUP	में	 'ਚ	లో 	ಗೆ 	இடம் 	ত	માં	କୁ	मध्ये 	তে 	ലേക്ക്	He is joining to the group.
EDUCATION	को	ਨੂੰ	కి 	ಗೆ 	க்கு 	ত	ને	କୁ	ला 	এ 	ലേക്ക്	He is going to school
QUALITY	को	ਨੂੰ	లో 	ಗೆ 	க்கு 	লৈ	ને	କୁ	ला 	কে	ആകാന്‍ 	He is going to be great.
MOVING_OBJECTS	के पास	ਦੇ ਕੋਲ	దగ్గరకి 	ಹತ್ತಿರ 	அருகில் 	ৰ ওচৰলৈ	ની નજીક	ପାଖକୁ 	च्या जवळ 	পর্য্যন্ত 	ന്‍റെ അടുത്തേക്ക്	He is going to his car.
									च्या जवळ 	এর কাছে		
prepostion with object (default) - with pronouns												
- same as first table , removing the post positions "-के / ke" , assuming preposition with pronouns												
among	बीच में					মাজত	વચ્ચે	 ମଝିରେ	च्या मध्यभागी 	মধ্যে 	കൂടെ	
pursuant to	अनुसार					মতে	મુજબ	 ଅନୁଯାଇ	च्या अनुसार 	অনুসারে 	പ്രകാരം	
with a view to	 लक्ष्य से					লক্ষ ৰাখি	ધ્યેય થી	 ଲକ୍ଷ ରେ	लक्ष्य नुसार 	লক্ষ্য 	ഒരു കാഴ്ചപ്പാടോടെ	
less	 अलावा					বাহিৰে	 વગર	 ବଦଳ ରେ	च्या शिवाय 	ছাড়া 	കുറവ്	
into	में					ভিতৰলৈ	માં	ରେ	मध्ये 	মধ্যে 	ഉള്ളിലേക്ക് 	
within	 अंदर					ভিতৰত	અંદર	 ଭିତରେ	आत मध्ये 	এর মধ্যে 	അകത്ത്	
while	जब तक					যেতিয়ালৈ	જ્યાર સુધી 	ଯେବେ ଯାଏଁ	जो पर्यंत 	যখন	സമയത്ത്	
mid	 बीच					মাজত	મધ્યે	 ମଝି	मध्ये 	মধ্যে 	മധ്യ	
down	 निचे					তলত	નીચે	 ତଳ	खाली 	নীচে 	താഴേക്ക്	
according to	 अनुसार					মতে	મુજબ 	 ଅନୁଯାଇ	अनुसार 	অনুসার 	അതുപ്രകാരം	
anti	 खिलाफ					বিপৰিতে	વિરુદ્ધ	 ବିରୁଦ୍ଧ ରେ	विरुद्ध 	বিরুদ্ধে 	വിരുദ്ധം	
outside of	 बाहर					বাহিৰত	બહાર	 ବାହାରେ	बाहेर 	বাইরে 	അതിനു പുറത്ത്	
next	अगला					পৰবৰ্ত্তী	આગલું	 ପର	पुढील 	পরবর্তী 	അടുത്ത	
at the behest of	 कहने पर					কোৱাৰ মতে	કેહવા મુજબ	 କହିବା ରୁ	सांगण्या वरून 	বলার পর 	നിർദ്ദേശപ്രകാരം	
abreast	बराबर					সমান	સમાન	ସମାନ	बरोबर 	সমান 	ഇടയ്ക്കിടെ	
before	से पहले					আগত	પેહલા	 ପୂର୍ବରୁ	च्या आधी 	এর আগে 	മുമ്പ്	
considering	ध्यान में रखते हुए					ধ্যানত ৰাখি	ધ્યાનમાં રાખી ને	ଧ୍ୟାନ ରେ ରଖି	लक्ष्यात घेऊन 	বিবেচনা করে 	പരിഗണിച്ച്	
beside	के साथ					কাষত	સાથે	 ସାଙ୍ଗରେ	च्या सोबत 	এর পাশাপাশি 	അരികിൽ	
from	से					পৰা	થી	ରୁ	पासून 	থেকে 	മുതൽ	
even if	भले ही					যদিওবা	ભલે જો	ଯଦି ବି	जरी हे 	যদিও 	എന്നിരുന്നാലും	
except	 अलावा					বাহিৰে	સિવાય	 ଛଡା	च्या शिवाय 	ছাড়া 	ഒഴികെ	
amidst	 बीच					মাজত	 મધ્યે	 ମଝି	मध्ये 	মধ্যে 	നടുവിലൂടെ	
by	 द्वारा					দ্ৱাৰা	દ્વારા	 ଦ୍ଵାରା	द्वारा 	দ্বারা 	വഴി	
to	को					লৈ	ને	କୁ	ला 	তে 	ലേക്ക്	
ahead of	 आगे					আগত	આગે	 ଆଗରେ	पुढे 	আগে 	മുന്നിൽ	
of	का					-	ની	ର	याचे 	এর 	അതിൽ	
up	 ऊपर					ওপৰত	ઉપર	 ଉପରେ	वर 	উপর 	മുകളിലേക്ക്	
by virtue of	 आधार पर					আধাৰ কৰি	આધાર પર	 ଆଧାରେ	या आधार वर 	এর ভিত্তিতে 	അടിസ്ഥാനത്തിൽ	
under	 नीचे					তলত	નીચે	 ତଳେ	खाली 	নীচে 	കീഴെ	
such as	जैसे					যেনে	જેમકે	ଯେମିତି କି	जसे 	এর মতন 	അതുപോലെ	
as soon as	जल्द से जल्द					যিমান পাৰি সিমান সোনকালে	જલ્દીથી જલ્દી	ଯେତେ ଜଲ୍ଦି ହେଇ ପରେ	लवकरात लवकर 	যত তাড়াতাড়ি 	ഉടനടി	
with regard to	 सम्बन्ध में					সম্মন্ধত	 વિષય માં	 ସମ୍ବନ୍ଧ ରେ	या संधर्भात 	এর সম্বন্ধে 	സംബന്ധിച്ച	
circa	लगभग					প্ৰায়	લગભગ	ପାଖା ପାଖି	जवळ जवळ 	প্রায় 	കുറിച്ച്	
over	 ऊपर					ওপৰত	ઉપર	 ଉପରେ	वर 	উপর 	മേൽ	
as of	 रूप में					ৰূপত	રૂપમાં 	 ରୂପ ରେ	या रूपात 	এই রুপে 	പോലെ	
versus	 मुक़ाबले					বিপৰিতে	વિરુદ્ધ	 ମୁକାବିଲା ରେ	च्या तुलनेत 	বিপক্ষে , বিরুদ্ধে 	എതിരായി	
through	 माध्यम से					মাধ্যমেৰে	દ્વારા	 ମାଧ୍ୟମ ରେ	या माध्यमातून 	এর মাধ্যমে 	മുഖാന്തിരം	
around	 आस पास					আসে পাসে	આજુબાજુ	 ଆଖ ପାଖ ରେ	सुमारे 	এর কাছাকাছি 	ചുറ്റും	
than	से					কৈ	થી	ଠାରୁ	पासून 	থেকে 	അധികം	
outside	 बाहर					বাহিৰত	બહાર	 ବାହାରେ	बाहेर 	বাইরে 	പുറത്ത്	
adjacent to	 पास					ওচৰত	બાજુમાં 	 ପାଖ ରେ	लगत 	নিকটে	 ന്‍റെ അടുത്ത്	
in accordance with	 अनुसार					অনুসাৰে	અનુસાર	 ଅନୁସାରେ	अनुसार 	অনুসার 	ഇതനുസരിച്ച്	
amongst	 बीच में					ভিতৰত	મધ્યમાં	 ମଝିରେ	मध्ये 	মধ্যে 	ഇടയിൽ	
underneath	 नीचे					তলত	નીચે 	 ତଳେ	खाली 	নীচে 	കീഴെ	
upside	उल्टा					ওলোটা	ઊંધું	 ତଳେ	उलट 	উল্টা 	ഉയർച്ച	
despite	 बावजूद					স্বত্তেও	છતાં	 ସତ୍ତ୍ବେ	तरी सुद्धा 	তা স্বত্তেও 	എങ്കിലും	
during	 दौरान					সময়ত	દરમ્યાન	 ବେଳେ	या दरम्यान 	চলাকালীন 	സമയത്ത്	
with	 साथ					সৈতে	સાથે	 ସାଙ୍ଗରେ	बरोबर 	সাথে 	കൂടെ	
below	 नीचे					তলত	 નીચે	 ତଳେ	खाली 	নীচে 	താഴെ	
absent	 बिना					অবিহনে	ગેરહાજર	 ଛଡା	च्या शिवाय 	ছাড়া, বিনা 	അഭാവത്തിൽ	
regarding	 बारे में					বিষয়ে	સંબંધિત	 ବିଷୟ ରେ 	च्या विषयी 	এর সম্বন্ধে 	കുറിച്ച്	
save	 अलावा					বাহিৰে	વગર	 ଛଡା	शिवाय 	ছাড়া 	രക്ഷിക്കും	
bar	 अलावा					বাহিৰে	વગર	ଛଡା	शिवाय 	ছাড়া	ഇതു കൂടാതെ	
like	जैसे					নিচিনা	જેમકે 	ଯେମିତି କି	जसे 	এর মতো	അതു പോലെ	
excluding	 हटा कर					এৰি	બાદ કરી 	କୁ ଛାଡି	ला काढून 	ব্যতীত	ഒഴികെ	
inside	 अंदर					ভিতৰত	અંદર	 ଭିତରେ	आतमध्ये 	এর ভিতর	ഉള്ളിൽ	
by means of	 ज़रिये					জৰিয়তে	માધ્યમ દ્વારા	 ବ୍ୟବହାର କରି	या व्‍दारा 	উপায়ে	മുഖേന	
as far as	जहाँ तक					যিমানলৈ	જ્યાં સુધી	ଯେବେ ଯାଏଁ	जीथ्‍ा पर्यंत 	যতদুর	അതുവരെ	
because of	वजह से					কাৰণে	કારણે	 ପାଇଁ	या कारणाने 	এর কারণে	കാരണം	
as regards	 सम्बन्ध में					সম্মন্ধত	બાબતે	 ସମ୍ବନ୍ଧ ରେ	या संदर्भात 	এর সম্বন্ধে	ഇതിനെ സംബന്ധിച്ച്	
until	तक					লৈকে	ત્યાં સુધી	ଯାଏଁ	पर्यंत 	পর্য্যন্ত 	വരെ	
as well as	साथ ही साथ					লগতে	તેમજ	 ସାଙ୍ଗରେ	या सोबत 	এর সাথে	അതുപോലെ തന്നെ	
opposite of	 विपरीत					বিপৰিতে	વિરુદ્ધ	 ବିପରୀତ ରେ	च्‍या विरुध्‍द 	এর বিপরীত	വിപരീതമായ	
due to	 वजह से					কাৰণে	કારણે	 ଯୋଗୁଁ 	कारणामुळे 	কারণে	കാരണം	
following	होने पर					হোৱাৰ পিচত	થવા પર	ହବା ଯୋଗୁଁ	झाल्यावर 	হওয়ার জন্য	പിന്തുടരുന്നു	
near to	 पास					কাষত	નજીક	 ପାଖରେ	जवळ 	নিকটে	സമീപം	
beneath	 नीचे					তলত	નીચે	ତଳେ	खाली 	এর নীচে	കീഴ്ഭാഗത്ത്	
minus	 सिवाय					অবিহনে	વગર	ଛଡା	शिवाय 	এটা ছাড়া	ഒഴികെ	
pre	 पूर्व					পূৰ্বে	પૂર્વ	 ପୂର୍ବ ରୁ	आधी 	পূর্ব	മുന്‍പ് 	
atop	 ऊपर					ওপৰত	ઉપર	 ଉପରେ	वरती 	উপর	മുകളിൽ	
on account of	 वजह से					কাৰণে	કારણે	 ଲାଗି	कारणामुळे 	এর কারণে	കാരണം	
in spite of	 बावजूद					স্বত্তেও	તેમ છતા પણ	 ପରେ ବି	तरी सुद्धा 	তা স্বত্তেও	എന്നിട്ടുപോലും	
in lieu of	बदले					পৰিবৰ্ত্তে	બદલે	ବଦଳ ରେ	या बदल्यात 	পরিবর্তে	പകരം	
alongside	 साथ					সৈতে	સાથે	 ସାଙ୍ଗରେ	सोबत 	সাথে	അതോടൊപ്പം	
near	 पास					কাষত	નજીક	 ପାଖରେ	जवळ 	নিকট	സമീപം	
